Date : 2023-08-21 16:07:15
Directory : d:\codes\996ForCredit
Total : 565 files,  40918 codes, 2295 comments, 2304 blanks, all 45517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| final_project\383ONPBqLwJeW\east_wind-front\src\views\dashboard                                                               |          1 |          8 |          0 |          3 |         11 |
| final_project\383ONPBqLwJeW\east_wind-front\src\views\error-page                                                              |          2 |         75 |          0 |         15 |         90 |
| final_project\383ONPBqLwJeW\east_wind-front\src\views\login                                                                   |          2 |        260 |          1 |         29 |        290 |
| final_project\383ONPBqLwJeW\east_wind-front\src\views\redirect                                                                |          1 |         13 |          0 |          1 |         14 |
| final_project\383ONPBqLwJeW\east_wind-front\typings                                                                           |          4 |        201 |         25 |          7 |        233 |
| final_project\383ONPBqLwJeW\east_wind\.VSCodeCounter                                                                          |          5 |        120 |          0 |         26 |        146 |
| final_project\383ONPBqLwJeW\east_wind\.VSCodeCounter\2023-08-21_16-02-36                                                      |          5 |        120 |          0 |         26 |        146 |
| final_project\383ONPBqLwJeW\east_wind\src                                                                                     |         35 |        751 |         59 |        163 |        973 |
| final_project\383ONPBqLwJeW\east_wind\src\main                                                                                |         34 |        717 |         59 |        160 |        936 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java                                                                           |         31 |        658 |         54 |        158 |        870 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com                                                                       |         31 |        658 |         54 |        158 |        870 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew                                                                    |         31 |        658 |         54 |        158 |        870 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew (Files)                                                            |          1 |         17 |          1 |          3 |         21 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\adivce                                                             |          1 |         14 |          4 |          2 |         20 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\common                                                             |          2 |         21 |          1 |          7 |         29 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\common\response                                                    |          2 |         21 |          1 |          7 |         29 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\config                                                             |          2 |         37 |         20 |          7 |         64 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\controller                                                         |          2 |         76 |          0 |          8 |         84 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\dao                                                                |          1 |         11 |          1 |          9 |         21 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\entity                                                             |          3 |         37 |          0 |         10 |         47 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\enums                                                              |          1 |         24 |          3 |          7 |         34 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\handlers                                                           |          1 |         26 |          0 |          8 |         34 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\interceptors                                                       |          2 |         57 |          3 |          9 |         69 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\model                                                              |          3 |         44 |          1 |          9 |         54 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\repository                                                         |          4 |         96 |          3 |         28 |        127 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\repository (Files)                                                 |          2 |         17 |          0 |         13 |         30 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\repository\impl                                                    |          2 |         79 |          3 |         15 |         97 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\service                                                            |          8 |        198 |         17 |         51 |        266 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\service (Files)                                                    |          4 |         36 |          2 |         19 |         57 |
| final_project\383ONPBqLwJeW\east_wind\src\main\java\com\ew\service\impl                                                       |          4 |        162 |         15 |         32 |        209 |
| final_project\383ONPBqLwJeW\east_wind\src\main\resources                                                                      |          3 |         59 |          5 |          2 |         66 |
| final_project\383ONPBqLwJeW\east_wind\src\main\resources (Files)                                                              |          2 |         21 |          5 |          2 |         28 |
| final_project\383ONPBqLwJeW\east_wind\src\main\resources\mapper                                                               |          1 |         38 |          0 |          0 |         38 |
| final_project\383ONPBqLwJeW\east_wind\src\test                                                                                |          1 |         34 |          0 |          3 |         37 |
| final_project\383ONPBqLwJeW\east_wind\src\test\java                                                                           |          1 |         34 |          0 |          3 |         37 |
| final_project\383ONPBqLwJeW\east_wind\src\test\java\com                                                                       |          1 |         34 |          0 |          3 |         37 |
| final_project\383ONPBqLwJeW\east_wind\src\test\java\com\ew                                                                    |          1 |         34 |          0 |          3 |         37 |
| final_project\383ONPBqLwJeW\east_wind\src\test\java\com\ew\dao                                                                |          1 |         34 |          0 |          3 |         37 |
| libs                                                                                                                          |          6 |     15,161 |        289 |        140 |     15,590 |
| templetes                                                                                                                     |          3 |         35 |          2 |         15 |         52 |
| tests                                                                                                                         |          2 |         26 |          2 |          8 |         36 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                      | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\codes\996ForCredit\20230727-front\test1.html                                                                               | HTML               |         55 |          0 |          4 |         59 |
| d:\codes\996ForCredit\20230728-front\jquery\1.html                                                                            | HTML               |         17 |          1 |          4 |         22 |
| d:\codes\996ForCredit\20230728-front\jquery\2.html                                                                            | HTML               |         25 |          1 |          3 |         29 |
| d:\codes\996ForCredit\20230728-front\jquery\3.html                                                                            | HTML               |         54 |          1 |          3 |         58 |
| d:\codes\996ForCredit\20230728-front\jquery\4.html                                                                            | HTML               |         48 |          1 |          4 |         53 |
| d:\codes\996ForCredit\20230728-front\jquery\5.html                                                                            | HTML               |         49 |          1 |          3 |         53 |
| d:\codes\996ForCredit\20230728-front\jquery\templete.html                                                                     | HTML               |         12 |          1 |          5 |         18 |
| d:\codes\996ForCredit\20230728-front\js\jquery-3.7.0.min.js                                                                   | JavaScript         |          1 |          1 |          0 |          2 |
| d:\codes\996ForCredit\20230728-front\js的Object\1.html                                                                         | HTML               |         63 |          0 |          4 |         67 |
| d:\codes\996ForCredit\20230728-front\js的Object\10.html                                                                        | HTML               |         37 |          0 |          4 |         41 |
| d:\codes\996ForCredit\20230728-front\js的Object\11.html                                                                        | HTML               |         18 |          0 |          4 |         22 |
| d:\codes\996ForCredit\20230728-front\js的Object\12.html                                                                        | HTML               |         22 |          0 |          4 |         26 |
| d:\codes\996ForCredit\20230728-front\js的Object\2.html                                                                         | HTML               |         32 |          0 |          4 |         36 |
| d:\codes\996ForCredit\20230728-front\js的Object\3.html                                                                         | HTML               |         36 |          0 |          5 |         41 |
| d:\codes\996ForCredit\20230728-front\js的Object\4.html                                                                         | HTML               |         32 |          0 |          6 |         38 |
| d:\codes\996ForCredit\20230728-front\js的Object\5.html                                                                         | HTML               |         42 |          0 |          5 |         47 |
| d:\codes\996ForCredit\20230728-front\js的Object\6.html                                                                         | HTML               |         19 |          0 |          4 |         23 |
| d:\codes\996ForCredit\20230728-front\js的Object\7.html                                                                         | HTML               |         29 |          0 |          5 |         34 |
| d:\codes\996ForCredit\20230728-front\js的Object\8.html                                                                         | HTML               |         26 |          0 |          4 |         30 |
| d:\codes\996ForCredit\20230728-front\js的Object\9.html                                                                         | HTML               |         36 |          0 |          6 |         42 |
| d:\codes\996ForCredit\20230728-front\js的Object\test.js                                                                        | JavaScript         |          4 |          3 |          0 |          7 |
| d:\codes\996ForCredit\20230728-front\js的Object\test1.js                                                                       | JavaScript         |          3 |          1 |          0 |          4 |
| d:\codes\996ForCredit\20230728-front\js的Object\test2.js                                                                       | JavaScript         |          4 |          4 |          0 |          8 |
| d:\codes\996ForCredit\20230728-front\js的Object\test3.js                                                                       | JavaScript         |          4 |          1 |          0 |          5 |
| d:\codes\996ForCredit\20230729\1.html                                                                                         | HTML               |         40 |          1 |          3 |         44 |
| d:\codes\996ForCredit\20230729\10.html                                                                                        | HTML               |         37 |          1 |          4 |         42 |
| d:\codes\996ForCredit\20230729\11.html                                                                                        | HTML               |         20 |          1 |          3 |         24 |
| d:\codes\996ForCredit\20230729\12.html                                                                                        | HTML               |         31 |          1 |          6 |         38 |
| d:\codes\996ForCredit\20230729\13.html                                                                                        | HTML               |         21 |          1 |          3 |         25 |
| d:\codes\996ForCredit\20230729\14.html                                                                                        | HTML               |         59 |          6 |          4 |         69 |
| d:\codes\996ForCredit\20230729\15.html                                                                                        | HTML               |         65 |          1 |          3 |         69 |
| d:\codes\996ForCredit\20230729\16.html                                                                                        | HTML               |         62 |          1 |          3 |         66 |
| d:\codes\996ForCredit\20230729\2.html                                                                                         | HTML               |         44 |          1 |          3 |         48 |
| d:\codes\996ForCredit\20230729\3.html                                                                                         | HTML               |         47 |          1 |          3 |         51 |
| d:\codes\996ForCredit\20230729\4.html                                                                                         | HTML               |         43 |          1 |          5 |         49 |
| d:\codes\996ForCredit\20230729\5.html                                                                                         | HTML               |         32 |          1 |          5 |         38 |
| d:\codes\996ForCredit\20230729\6.html                                                                                         | HTML               |         33 |          1 |          5 |         39 |
| d:\codes\996ForCredit\20230729\7.html                                                                                         | HTML               |         23 |          1 |          4 |         28 |
| d:\codes\996ForCredit\20230729\8.html                                                                                         | HTML               |         22 |          1 |          4 |         27 |
| d:\codes\996ForCredit\20230729\9.html                                                                                         | HTML               |         59 |          1 |          5 |         65 |
| d:\codes\996ForCredit\20230729\js\jquery-3.7.0.min.js                                                                         | JavaScript         |          1 |          1 |          0 |          2 |
| d:\codes\996ForCredit\20230729\templete.html                                                                                  | HTML               |         13 |          1 |          4 |         18 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\.idea\dataSources.xml                                                           | XML                |         12 |          0 |          0 |         12 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\.idea\encodings.xml                                                             | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\.idea\misc.xml                                                                  | XML                |         18 |          0 |          0 |         18 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\.idea\sqldialects.xml                                                           | XML                |          7 |          0 |          0 |          7 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\.idea\vcs.xml                                                                   | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\pom.xml                                                                         | XML                |         21 |          1 |          4 |         26 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\qodana.yaml                                                                     | YAML               |          5 |         19 |          8 |         32 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\src\main\java\com\tjetc\Test.java                                               | Java               |         93 |         25 |         14 |        132 |
| d:\codes\996ForCredit\20230731\_20230731-jdbc\src\main\java\com\tjetc\entity\User.java                                        | Java               |         32 |          0 |          9 |         41 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\0_create.sql                                                                   | SQL                |         53 |          5 |          5 |         63 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\1.sql                                                                          | SQL                |         10 |          4 |          9 |         23 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\2.sql                                                                          | SQL                |         63 |         17 |         36 |        116 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\3.sql                                                                          | SQL                |         51 |         16 |         18 |         85 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\4.sql                                                                          | SQL                |         15 |          4 |          3 |         22 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\5.sql                                                                          | SQL                |         12 |          3 |          3 |         18 |
| d:\codes\996ForCredit\20230731\_20240731-mysql\6.sql                                                                          | SQL                |         39 |         10 |         10 |         59 |
| d:\codes\996ForCredit\20230731\create_table.sql                                                                               | SQL                |         12 |          4 |          2 |         18 |
| d:\codes\996ForCredit\20230731\querys\create.sql                                                                              | SQL                |         53 |          5 |          5 |         63 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\dataSources.xml                                                        | XML                |         12 |          0 |          0 |         12 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\encodings.xml                                                          | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\misc.xml                                                               | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\sqldialects.xml                                                        | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\vcs.xml                                                                | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\pom.xml                                                                      | XML                |         31 |          0 |          4 |         35 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\common\SqlSessionUtils.java                          | Java               |         13 |          3 |          4 |         20 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\dao\UserMapper.java                                  | Java               |         21 |         11 |         18 |         50 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\entity\User.java                                     | Java               |         32 |          0 |          8 |         40 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\db.properties                                             | Properties         |          4 |          0 |          0 |          4 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\mapper\UserMapper.xml                                     | XML                |        138 |         22 |         11 |        171 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\mybatis.xml                                               | XML                |         29 |         14 |          2 |         45 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\test\java\com\tjetc\TestUser.java                                        | Java               |         68 |         23 |         10 |        101 |
| d:\codes\996ForCredit\20230801\_20230801-mybatis\src\test\java\com\tjetc\TestUser2.java                                       | Java               |         94 |         22 |         16 |        132 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\dataSources.xml                                                        | XML                |         12 |          0 |          0 |         12 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\encodings.xml                                                          | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\misc.xml                                                               | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\vcs.xml                                                                | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\pom.xml                                                                      | XML                |         36 |          1 |          6 |         43 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\common\SqlSessionUtils.java                          | Java               |         13 |          3 |          4 |         20 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\AdminMapper.java                                 | Java               |          8 |          0 |          6 |         14 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\CourseMapper.java                                | Java               |          5 |          0 |          3 |          8 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\IdCardMapper.java                                | Java               |          7 |          0 |          3 |         10 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\MyClassMapper.java                               | Java               |          7 |          0 |          4 |         11 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\PersonMapper.java                                | Java               |          5 |          0 |          3 |          8 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\StudentMapper.java                               | Java               |          5 |          0 |          3 |          8 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\TeacherMapper.java                               | Java               |          9 |          0 |          5 |         14 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Admin.java                                    | Java               |         41 |          2 |         12 |         55 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Course.java                                   | Java               |         33 |          0 |         10 |         43 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\IdCard.java                                   | Java               |         32 |          1 |          9 |         42 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\MyClass.java                                  | Java               |         33 |          1 |         10 |         44 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Person.java                                   | Java               |         24 |          0 |          8 |         32 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Student.java                                  | Java               |         32 |          0 |          9 |         41 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Teacher.java                                  | Java               |         33 |          0 |         10 |         43 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\enums\EnumSex.java                                   | Java               |         25 |          0 |          8 |         33 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\handlers\EnumSexTypeHandler.java                     | Java               |         29 |         19 |          8 |         56 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\AdminMapper.xml                             | XML                |         24 |          3 |          4 |         31 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\CourseMapper.xml                            | XML                |          9 |          0 |          0 |          9 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\IdCardMapper.xml                            | XML                |         43 |          2 |          6 |         51 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\MyClassMapper.xml                           | XML                |         43 |          0 |          4 |         47 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\PersonMapper.xml                            | XML                |          9 |          0 |          0 |          9 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\StudentMapper.xml                           | XML                |          9 |          0 |          0 |          9 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\TeacherMapper.xml                           | XML                |         49 |          2 |          6 |         57 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\db.properties                                             | Properties         |          4 |          0 |          0 |          4 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\mybatis.xml                                               | XML                |         35 |         22 |          4 |         61 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestAdmin.java                                       | Java               |         52 |          1 |          7 |         60 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestMyClassAndStudent.java                           | Java               |         46 |          0 |         11 |         57 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestPersonAndIdCard.java                             | Java               |         42 |          0 |         11 |         53 |
| d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestTeacherAndCourse.java                            | Java               |         60 |          3 |         10 |         73 |
| d:\codes\996ForCredit\20230802\querys\create2.sql                                                                             | SQL                |         11 |          1 |          0 |         12 |
| d:\codes\996ForCredit\20230803\_20230803-spring\.idea\encodings.xml                                                           | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230803\_20230803-spring\.idea\misc.xml                                                                | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230803\_20230803-spring\.idea\uiDesigner.xml                                                          | XML                |        124 |          0 |          0 |        124 |
| d:\codes\996ForCredit\20230803\_20230803-spring\.idea\vcs.xml                                                                 | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230803\_20230803-spring\pom.xml                                                                       | XML                |         21 |          1 |          4 |         26 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test.java                                             | Java               |         26 |         15 |          5 |         46 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test1.java                                            | Java               |         15 |          0 |          2 |         17 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test3.java                                            | Java               |         14 |          0 |          4 |         18 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\common\AdminContent.java                              | Java               |         32 |          8 |          8 |         48 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\common\MyBean.java                                    | Java               |          8 |          0 |          3 |         11 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\controller\UserController.java                        | Java               |         25 |          4 |          9 |         38 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\dao\UserDao.java                                      | Java               |          8 |          0 |          3 |         11 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\service\UserService.java                              | Java               |         20 |          4 |          5 |         29 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\resources\admin.properties                                           | Properties         |          2 |          0 |          0 |          2 |
| d:\codes\996ForCredit\20230803\_20230803-spring\src\main\resources\spring.xml                                                 | XML                |         13 |         12 |          0 |         25 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\encodings.xml                                                        | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\misc.xml                                                             | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\uiDesigner.xml                                                       | XML                |        124 |          0 |          0 |        124 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\vcs.xml                                                              | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\pom.xml                                                                    | XML                |         26 |          2 |          5 |         33 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\src\main\java\com\tjetc\Test.java                                          | Java               |         15 |          0 |          2 |         17 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\src\main\java\com\tjetc\aspects\AnnotationTransactionPrint.java            | Java               |         38 |         26 |          6 |         70 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\src\main\java\com\tjetc\service\OrderService.java                          | Java               |         21 |          0 |          6 |         27 |
| d:\codes\996ForCredit\20230804\_20230804-springAOP\src\main\resources\applicationContext.xml                                  | XML                |         12 |          2 |          0 |         14 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\.idea\encodings.xml                                                       | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\.idea\misc.xml                                                            | XML                |         13 |          0 |          0 |         13 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\.idea\vcs.xml                                                             | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\pom.xml                                                                   | XML                |         42 |          0 |          5 |         47 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\java\com\tjetc\controller\HelloController.java                   | Java               |         28 |          8 |          6 |         42 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\java\com\tjetc\controller\LoginController.java                   | Java               |         38 |          7 |          8 |         53 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\java\com\tjetc\model\params\UserParam.java                       | Java               |         24 |          0 |          7 |         31 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\java\com\tjetc\model\views\UserView.java                         | Java               |         32 |          0 |          9 |         41 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\resources\springmvc.xml                                          | XML                |         19 |          6 |          0 |         25 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\webapp\WEB-INF\web.xml                                           | XML                |         32 |          8 |          2 |         42 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\webapp\hello.jsp                                                 | HTML               |         16 |          0 |          1 |         17 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\webapp\index.jsp                                                 | HTML               |          6 |          0 |          1 |          7 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\webapp\login.jsp                                                 | HTML               |         20 |          0 |          1 |         21 |
| d:\codes\996ForCredit\20230804\_20230804-springmvc_\src\main\webapp\success.jsp                                               | HTML               |         17 |          0 |          1 |         18 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\.idea\encodings.xml                                                      | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\.idea\misc.xml                                                           | XML                |         13 |          0 |          0 |         13 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\.idea\uiDesigner.xml                                                     | XML                |        124 |          0 |          0 |        124 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\.idea\vcs.xml                                                            | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\pom.xml                                                                  | XML                |         34 |          3 |          3 |         40 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\src\main\java\com\tjetc\HelloApplication.java                            | Java               |          9 |          1 |          3 |         13 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\src\main\java\com\tjetc\controller\HelloController.java                  | Java               |         11 |          0 |          3 |         14 |
| d:\codes\996ForCredit\20230805\_202308085-springboot\src\main\resources\application.properties                                | Properties         |          2 |          2 |          1 |          5 |
| d:\codes\996ForCredit\20230805\aaa.yaml                                                                                       | YAML               |         28 |          0 |          7 |         35 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\.idea\encodings.xml                                                       | XML                |          8 |          0 |          0 |          8 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\.idea\misc.xml                                                            | XML                |         14 |          0 |          0 |         14 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\.idea\uiDesigner.xml                                                      | XML                |        124 |          0 |          0 |        124 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\.idea\vcs.xml                                                             | XML                |          6 |          0 |          0 |          6 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\pom.xml                                                                   | XML                |         39 |          3 |          6 |         48 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\TestApplication.java                              | Java               |         12 |          1 |          2 |         15 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\common\ImageInfo.java                             | Java               |         31 |          1 |          9 |         41 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\config\AppConfig.java                             | Java               |         21 |          5 |          4 |         30 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\config\MyDataSource.java                          | Java               |         48 |          0 |         12 |         60 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\controller\StudentController.java                 | Java               |         34 |          1 |          8 |         43 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\controller\UserController.java                    | Java               |         24 |          0 |          4 |         28 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\entity\Book.java                                  | Java               |         26 |          0 |          8 |         34 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\entity\MyClass.java                               | Java               |         37 |          1 |         10 |         48 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\entity\Student.java                               | Java               |         75 |          2 |         19 |         96 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\model\view\StudentAndMyClass.java                 | Java               |         26 |          0 |          8 |         34 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\service\UserService.java                          | Java               |          6 |          0 |          4 |         10 |
| d:\codes\996ForCredit\20230807\_20230807-springboot\src\main\java\com\tjetc\service\impl\UserServiceImpl.java                 | Java               |         14 |          0 |          5 |         19 |
